"Front","Back","Tag"
"How do isoline maps present landscapes?","Accurately.","other"
"What do isoline maps focus on?","Data variability.","other"
"What do some thematic maps use to communicate data differences?","Visual distortions and exaggerations.","other"
"How do graduated symbol maps compare data quantity across an area?","By contrasting symbols of varied sizes.","other"
"In a graduated symbol map depicting relative population sizes in cities, what would a larger circle represent?","Higher population density.","other"
"What type of map differs from a dot density map according to the text?","Graduated symbol map.","other"
"How does a graduated symbol map differentiate data?","Uses circle size.","other"
"How does a dot density map differentiate data?","Uses dot quantity.","other"
"What do flowline maps use to show movement, direction, and intensity of data across space?","Arrows of different sizes.","other"
"What could a flowline map using arrows of relative sizes and directions show?","Migration patterns on a continent.","other"
"What do cartogram maps use to demonstrate relative variables?","Visual distortions imposed on the landscape.","other"
"How could a cartogram map communicate global population differences?","Shrink or stretch the size of continents to show differentiation.","other"
"What do area cartograms impose distortions over?","An entire area.","other"
"What do area cartograms show by imposing distortions over an entire area?","Variables across space.","other"
"What do distance cartograms communicate?","Travel length, distance, and time of travel.","other"
"Why are locations and times on distance cartograms often estimated to near round numbers?","For ease of communication.","other"
"What is the aim of distortions in certain thematic maps?","To show data variation clearly.","other"
"What is a mental map?","An individual’s internal, subjective perception of their surroundings that they use to navigate environments without the need for a physical reference.","other"
"According to the text, what knowledge do individuals residing in a suburban downtown likely possess as part of their mental map?","The locations of their local library, grocery store, and preferred coffee shop, along with a general recollection of the physical appearance of these buildings.","other"
"What type of maps embody the highest degree of distortion and abstraction from literal representations?","Mental maps","other"
"What is an individual's internal, subjective perception of their surroundings that they use to navigate environments without the need for a physical reference?","A mental map","other"
"What type of information do maps display?","Navigational information","other"
"What do maps convey that enables comparisons between data?","Relationships between data","other"
"Give an example of a comparison enabled by maps, according to the text.","Differences in building height","other"
"Besides locations and distance, what else communicates meaning on maps?","Data points and how they are represented","other"
"Name three types of data points that communicate meaning on maps, according to the text.","1. Topography
2. Resource density
3. Human migration patterns","other"
"What has created standard approaches by which geographers display and interpret information?","Maps and their usual ways of presenting data","other"
"What two concepts are important to consider to grasp distance and location relationships?","Absolute distance and accessibility","other"
"What refers to a measurable span using standardized units of length?","Absolute distance","other"
"Name two standardized units of length used for absolute distance.","1. Miles
2. Kilometers","other"
"What describes how easily one location can be reached from and/or influenced by another?","Accessibility","other"
"What happens to the exchange of effects between two locations if there is less absolute distance and more accessibility between them?","They will exchange more effects","other"
"Name three types of effects that can be exchanged between locations with less absolute distance and more accessibility.","1. Languages
2. Resources
3. Diseases","other"
"What is the reduction in interaction between locations as spatial separation grows called?","The distance decay effect","other"
"What do geographers often use the actual separation between two places to anticipate?","How much influence they share or how closely their effects are linked","other"
"What has diminished disparities in relationship intensity across geographic regions of different distances over time?","Advances in technology","other"
"What phenomenon results in a reduction of the impact that physical distances create?","Time-space compression","other"
"What is the result of time-space compression?","A reduction of the impact that physical distances create","other"
"What has the world experienced that is characterized by increasing connections among individuals, ideas, and economies?","Ongoing globalization","other"
"What characterizes globalization?","Increasing connections among individuals, ideas, and economies around the world","other"
"Name four innovations that have progressively facilitated a more interconnected and accessible global landscape.","1. Carriages
2. Steam engines
3. Jumbo jets
4. The internet","other"
"What can absolute location show?","Relationships between two exact locations","other"
"For what two purposes do people often use relative location?","1. To assist with navigation
2. To make distinctions","other"
"What is the description of where a place is based on what is nearby?","Relative location","other"
"Give an example of relative location from the text.","""The gas station is down the road from the grocery store.""","other"
"Give an example of relative location on a regional scale from the text.","""The city of Phoenix is west of the city of Mesa.""","other"
"How can variables connect and relate?","In meaningful ways and through predictable trends","other"
"What describes the close grouping of factors within a location?","Clustering","other"
"What is the even or random distribution of data across a location?","Dispersal","other"
"What is how high areas are above sea level?","Elevation","other"
"On what two types of maps is elevation typically shown?","1. Topographic maps
2. Physical maps","other"
"What do clustering, dispersal, and elevation demonstrate about data?","How data differ by location and tend to follow predictable patterns","other"
"Give an example of predictable patterns that data tend to follow, according to the text.","Isolines on an elevation map","other"
"What can data clustering reveal?","How trends vary across regions","other"
"What two factors determine the amount of information a map displays?","1. Its physical size
2. Choices made by the cartographer","other"
"What does a map's scale determine regarding the level of detail?","The level of detail it displays","other"
"What does a map's scale determine regarding distances?","The relationship between distances in its representation and distances in reality","other"
"Name the three scales geographers primarily use.","1. Ratio scales
2. Written scales
3. Graphic scales","other"
"What type of scale indicates the relationship between distance on a map and actual ground distance in terms of a ratio?","Ratio scales","other"
"According to the text, what does a 1:3,000 ratio scale mean?","One map unit represents 3,000 real distance units","other"
"What is another name for written scales?","Verbal scales","other"
"How is the difference between real and portrayed distance units shown with written scales?","It is written out","other"
"Give an example of a written scale from the text.","""one centimeter equals one kilometer""","other"
"How are graphic scales usually drawn?","As a bar divided into segments","other"
"What does each segment of a graphic scale correspond to?","A specific distance","other"
"Name two specific distances that segments of a graphic scale might correspond to.","1. A mile
2. A kilometer","other"
"What does a map's scale vary depending on?","The information the map is conveying","other"
"How does the scale of a world map compare to a local-scale map?","It will naturally be quite different","other"
"What effect do greater scales have on fidelity?","They reduce fidelity","other"
"What effect do greater scales have on the total area a map can display?","They increase the total area a map can display","other"
"How does the Earth's shape relate to the simplified presentations that maps provide?","It does not neatly fit into them","other"
"What form does Earth possess?","A geoid form","other"
"What characterizes Earth's geoid form?","Its irregularity and slight flattening at the poles","other"
"What shape results from Earth's geoid form, characterized by irregularity and slight flattening at the poles?","An oblate shape","other"
"What two factors cause all map representations to inevitably incorporate some degree of distortion?","1. The Earth’s spherical form
2. The inherent flatness of most maps","other"
"What is the process of transferring geographical locations onto a flat map referred to as?","Projection","other"
"What do map projections cause?","Distortions","other"
"What determines which aspect of a map is most affected by distortion?","The projection method used","other"
"What is one type of distortion caused by maps, according to the text?","Shape","other"
"What does shape distortion affect on a map?","The actual boundaries and form of a location","other"
"How do maps distort shape?","By altering landmass dimensions","other"
"What is another type of distortion caused by maps, according to the text?","Size","other"
"What does size distortion affect on a map?","The actual area of locations","other"
"What effect does size distortion have on places on a map?","It causes places to look bigger or smaller on the map than they are in reality","other"
"What is another type of distortion caused by maps, according      to the text?","Distance","other"
"What does distance distortion affect on a map?","The physical separation between two locations","other"
"What effect does distance distortion have on location proximity?","Inaccurate location proximity","other"
"What is the final type of distortion caused by maps mentioned in the text?","Direction","other"
"What does direction distortion affect on a map?","The orientation between two locations","other"
"How do maps distort direction?","By simplifying trajectories such that they don’t precisely mirror the actual curved surface of the Earth and other surface complexities","other"
"How do most maps orient their direction?","With north facing the top","other"
"What is the ""north"" on most maps usually based on?","The actual location of the North Pole","other"
"What are two other terms for the actual location of the North Pole, according to the text?","1. Geographic North Pole
2. True North","other"
"How does the orientation of most maps differ from the orientation of a compass?","Maps are based on the geographic North Pole, while a compass orients toward the North Magnetic Pole","other"
"What is the purpose of maps distorting reality in varying ways?","To facilitate clear communication of some features while deprioritizing others","other"
