"Front","Back","Tag"
"What have maps and their usual ways of presenting data created for geographers?","Standard approaches by which geographers display and interpret information.","other"
"What two concepts are important to consider to grasp distance and location relationships?","1. Absolute distance, 2. Accessibility.","other"
"What is absolute distance?","A measurable span using standardized units of length, such as miles or kilometers.","other"
"What is accessibility?","How easily one location can be reached from and/or influenced by another.","other"
"What happens when there is less absolute distance and more accessibility between two locations?","They will exchange more effects, including the transmission of languages, resources, and diseases.","other"
"What is the distance decay effect?","The reduction in interaction between locations as spatial separation grows.","other"
"How do geographers often use the actual separation between two places?","To anticipate how much influence they share or how closely their effects are linked.","other"
"What has diminished disparities in relationship intensity across geographic regions of different distances over time?","Advances in technology.","other"
"What is time-space compression?","A phenomenon that results in a reduction of the impact that physical distances create.","other"
"What is globalization characterized by?","The increasing connections among individuals, ideas, and economies around the world.","other"
"Name four innovations that have progressively facilitated a more interconnected and accessible global landscape.","1. Carriages, 2. Steam engines, 3. Jumbo jets, 4. The internet.","other"
"What is the purpose of relative location?","To assist with navigation or to make distinctions.","other"
"What is relative location?","The description of where a place is based on what is nearby.","other"
"Provide an example of relative location on a regional scale.","""The city of Phoenix is west of the city of Mesa.""","other"
"What is clustering?","The close grouping of factors within a location.","other"
"What is dispersal?","The even or random distribution of data across a location.","other"
"What is elevation?","How high areas are above sea level.","other"
"On what two types of maps is elevation typically shown?","1. Topographic maps, 2. Physical maps.","other"
"What do clustering, dispersal, and elevation demonstrate about data?","How data differ by location and tend to follow predictable patterns.","other"
"What can data clustering reveal?","How trends vary across regions.","other"
"What two factors determine the amount of information a map displays?","1. Its physical size, 2. Choices made by the cartographer.","other"
"What two things does a map's scale determine?","1. The level of detail it displays, 2. The relationship between distances in its representation and distances in reality.","other"
"Name the three primary scales geographers use.","1. Ratio scales, 2. Written scales, 3. Graphic scales.","other"
"What do ratio scales indicate?","The relationship between distance on a map and actual ground distance in terms of a ratio.","other"
"What does a 1:3,000 ratio scale mean?","One map unit represents 3,000 real distance units.","statistic"
"What is another name for written scales?","Verbal scales.","other"
"What are written scales?","Scales where the difference between real and portrayed distance units is written out.","other"
"Provide an example of a written scale.","""One centimeter equals one kilometer.""","other"
"How are graphic scales usually drawn?","As a bar divided into segments, with each segment corresponding to a specific distance.","other"
"What factor influences a map's scale?","The information the map is conveying.","other"
"What are two effects of greater map scales?","1. They reduce fidelity, 2. They increase the total area a map can display.","other"
"Does the Earth's shape neatly fit into the simplified presentations that maps provide?","No.","other"
"What form does Earth possess?","A geoid form.","other"
"What are two characteristics of Earth's geoid form?","1. Irregularity, 2. Slight flattening at the poles.","other"
"What shape results from Earth's geoid form, characterized by irregularity and slight flattening at the poles?","An oblate shape.","other"
"Why do all map representations inevitably incorporate some degree of distortion?","Because of the Earth’s spherical form and the inherent flatness of most maps.","other"
"What is the process of transferring geographical locations onto a flat map referred to as?","Projection.","other"
"What do map projections cause?","Distortions.","other"
"What determines which aspect of a map is most affected by distortion?","The projection method used.","other"
"How do maps distort shape?","By altering landmass dimensions.","other"
"How do maps distort size?","By causing places to look bigger or smaller on the map than they are in reality.","other"
"How do maps distort distance?","With inaccurate location proximity.","other"
"How do maps distort direction?","By simplifying trajectories such that they don’t precisely mirror the actual curved surface of the Earth and other surface complexities.","other"
"How do most maps orient their direction?","With north facing the top.","other"
"What is the ""north"" on most maps usually based on?","The actual location of the North Pole, meaning the geographic North Pole or True North.","other"
"How does a compass orient?","Toward the North Magnetic Pole.","other"
"What is the purpose of maps distorting reality in varying ways?","To facilitate clear communication of some features while deprioritizing others.","other"
"What do geographers rely on for representing reality?","Map projections.","other"
"What do map projections have in terms of representing reality?","Advantages and disadvantages.","other"
"What two things do Mercator projections preserve?","Shape and direction.","other"
"What are Mercator projections ideal for?","Navigation.","other"
"What do Mercator projections distort?","Size near the poles.","other"
"What specific landmass appears much larger than it actually is on maps with Mercator projections?","Greenland.","other"
"What is another name for the Peters projection?","Gall-Peters.","other"
"What does the Peters projection show correctly?","Relative sizes.","other"
"What does the Peters projection alter?","The shapes of landmasses.","other"
"What do equal-area projections keep accurate?","Size.","other"
"What do equal-area projections sacrifice?","Shape.","other"
"What does the Robinson projection aim for?","A balanced compromise among various distortions.","other"
"What kind of world maps does the Robinson projection offer?","Visually appealing world maps.","other"
"What two things does a cartographer's projection selection highlight about them?","What they prioritize and where they are ready to make trade-offs.","other"
"What can maps convey?","Meaningful insights and information.","other"
"What do maps always represent?","Choices made by people.","other"
"What three choices do cartographers make regarding information?","1. Prioritize
2. Simplify
3. Exclude","other"
"Name three actions cartographers take when creating maps.","1. Draw and define political borders
2. Assign colors to specific regions
3. Draw attention to some information more than other information","other"
"What two things are important to keep in mind when interpreting a map?","1. Inherent biases
2. The priorities of the mapmaker","other"
